row_num,fundo_u_origen,obs_raw_flat,rx_diio,rx_rut,rx_pesos_kg,rx_pesos_pv,rx_guia,rx_precio_dollar,rx_precio_texto,rx_precio_kg,rx_precio_unitario,rx_cantidad_animal,rx_fecha_dd_mm_yyyy,rx_fecha_texto,rx_patente_auto,rx_camion_prefix,rx_carro_prefix,rx_kw_compra,rx_kw_venta,rx_kw_traslado,rx_kw_tratamiento,rx_nombre_propio,rx_url,rx_porcentaje,obs_lines_joined
789,San Pedro,Cae canal Misle,,,,,,,,,,,,,,,,,,,,,,,Cae canal Misle
790,San Pedro,Cae quebrada,,,,,,,,,,,,,,,,,,,,,,,Cae quebrada
791,San Pedro,Neumonia fulminante,,,,,,,,,,,,,,,,,,,,,,,Neumonia fulminante
792,San Pedro,neumonia cronica,,,,,,,,,,,,,,,,,,,,,,,neumonia cronica
793,San Pedro,Flaca PTBc,,,,,,,,,,,,,,,,,,,,,,,Flaca PTBc
794,San Pedro,Neumonia fulminante,,,,,,,,,,,,,,,,,,,,,,,Neumonia fulminante
795,San Pedro,Fractura columna,,,,,,,,,,,,,,,,,,,,,,,Fractura columna
796,San Pedro,baja inventario,,,,,,,,,,,,,,,,,,,,,,,baja inventario
797,San Pedro,baja inventario,,,,,,,,,,,,,,,,,,,,,,,baja inventario
798,San Pedro,baja inventario,,,,,,,,,,,,,,,,,,,,,,,baja inventario
799,San Pedro,baja inventario,,,,,,,,,,,,,,,,,,,,,,,baja inventario
800,San Pedro,baja inventario,,,,,,,,,,,,,,,,,,,,,,,baja inventario
801,San Pedro,baja inventario,,,,,,,,,,,,,,,,,,,,,,,baja inventario
802,San Pedro,baja inventario,,,,,,,,,,,,,,,,,,,,,,,baja inventario
803,San Pedro,baja inventario,,,,,,,,,,,,,,,,,,,,,,,baja inventario
804,San Pedro,baja inventario,,,,,,,,,,,,,,,,,,,,,,,baja inventario
805,San Pedro,baja inventario,,,,,,,,,,,,,,,,,,,,,,,baja inventario
806,San Pedro,baja inventario,,,,,,,,,,,,,,,,,,,,,,,baja inventario
807,San Pedro,baja inventario,,,,,,,,,,,,,,,,,,,,,,,baja inventario
808,San Pedro,baja inventario,,,,,,,,,,,,,,,,,,,,,,,baja inventario
809,San Pedro,baja inventario,,,,,,,,,,,,,,,,,,,,,,,baja inventario
810,San Pedro,baja inventario,,,,,,,,,,,,,,,,,,,,,,,baja inventario
811,San Pedro,baja inventario,,,,,,,,,,,,,,,,,,,,,,,baja inventario
812,San Pedro,baja inventario,,,,,,,,,,,,,,,,,,,,,,,baja inventario
