ID,Fundo,N° Guía,Animales,Tipo ganado,Peso (kg),Animales pesados,Observaciones,Estado,Fecha venta,Creado por,Fecha creado
4194,San Pedro,,38,Vaca: 38,20102,38,38 vacas a frival.,Completo,"""2023-02-22T00:00:00.000Z""",guentrepan,"""2023-02-22T00:00:00.000Z"""
4193,San Pedro,,38,"Vaca: 37
Vaquilla: 1",20747,38,38 vacas a frival,Completo,"""2023-02-22T00:00:00.000Z""",guentrepan,"""2023-02-22T00:00:00.000Z"""
4178,San Pedro,,9,"Novillo: 5
Toro: 1
Vaca: 3",0,0," venta feria freire tattersal
6 toros desecho.
3 vacas desecho cojas.",Completo,"""2023-02-08T00:00:00.000Z""",Diego,"""2023-02-08T00:00:00.000Z"""
4177,feedlot,2286,10,"Novillo: 4
Vaquilla: 6",2278,10,venta 10 desecho feedlot ,Completo,"""2023-02-07T00:00:00.000Z""",guentrepan,"""2023-02-07T00:00:00.000Z"""
4076,Arriendo Santa Isabel ,2269,44,"Novillo: 7
Ternera: 37",9852,44,venta 37 vaquillas engorda y 7 novillos de engorda a Ganadera Viento Sur lmta,Completo,"""2022-12-20T00:00:00.000Z""",guentrepan,"""2022-12-20T00:00:00.000Z"""
3920,feedlot,2268,45,Novillo: 45,23662,45,45  novillos Frival a Ferias Araucanias Freire con Guía nuestra.,Completo,"""2022-11-03T00:00:00.000Z""",guentrepan,"""2022-11-02T00:00:00.000Z"""
3919,feedlot,55,43,Novillo: 43,23460,43,43 novillos Frival a Frival con guía de ellos ,Completo,"""2022-11-02T00:00:00.000Z""",guentrepan,"""2022-11-02T00:00:00.000Z"""
3918,feedlot,56,43,"Novillo: 35
Vaquilla: 8",23054,43,8 vaquillas y 35 novillos Frival a Frival con guía de ellos,Completo,"""2022-11-02T00:00:00.000Z""",guentrepan,"""2022-11-02T00:00:00.000Z"""
3915,feedlot,2267,20,Novillo: 20,10230,20,20 novillos Frival a Feria Freire Tattersall con guía nuestra ,Completo,"""2022-11-02T00:00:00.000Z""",guentrepan,"""2022-11-02T00:00:00.000Z"""
3886,feedlot,,21,Novillo: 21,10513,21,21 novillos Frival a Frival con guía de ellos ,Completo,"""2022-10-27T00:00:00.000Z""",guentrepan,"""2022-10-27T00:00:00.000Z"""
3884,San Pedro,2266,4,"Novillo: 2
Toro: 1
Vaca: 1",0,0,3 toros y una vaca a Feria tattersall Freire.,Completo,"""2022-10-26T00:00:00.000Z""",Diego,"""2022-10-26T00:00:00.000Z"""
3883,feedlot,2266,45,"Novillo: 3
Ternera: 1
Ternero: 1
Vaca: 14
Vaquilla: 26",20841,45,45 animales propios a Feria tattersall Freire,Completo,"""2022-10-26T00:00:00.000Z""",guentrepan,"""2022-10-26T00:00:00.000Z"""
3879,feedlot,,14,"Novillo: 2
Ternero: 2
Vaquilla: 10",5974,14,14 animales abso  feria fegosa Paillaco ,Completo,"""2022-10-25T00:00:00.000Z""",guentrepan,"""2022-10-25T00:00:00.000Z"""
3876,feedlot,,43,Novillo: 43,23358,43,45 novillos Frival a Frival con guía de ellos ,Completo,"""2022-10-24T00:00:00.000Z""",guentrepan,"""2022-10-24T00:00:00.000Z"""
3873,feedlot,,45,Vaquilla: 45,22890,45,45 vaquillas Frival a Frival con guía de ellos,Completo,"""2022-10-24T00:00:00.000Z""",guentrepan,"""2022-10-24T00:00:00.000Z"""
