row_num,fundo_u_origen,obs_raw_flat,rx_diio,rx_rut,rx_pesos_kg,rx_pesos_pv,rx_guia,rx_precio_dollar,rx_precio_texto,rx_precio_kg,rx_precio_unitario,rx_cantidad_animal,rx_fecha_dd_mm_yyyy,rx_fecha_texto,rx_patente_auto,rx_camion_prefix,rx_carro_prefix,rx_kw_compra,rx_kw_venta,rx_kw_traslado,rx_kw_tratamiento,rx_nombre_propio,rx_url,rx_porcentaje,obs_lines_joined
1422,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1423,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1424,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1425,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1426,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1427,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1428,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1429,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1430,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1431,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1432,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1433,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1434,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1435,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1436,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1437,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1438,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1439,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1440,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1441,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1442,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1443,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1444,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1445,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1446,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1447,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1448,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1449,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1450,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1451,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1452,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
