Diio,Fundo,Tipo ganado,Fecha nacimiento,Estado reproductivo,Estado leche,Motivo,Detalle,Fecha baja,Creado por,Fecha creado
18085940,San Pedro,Ternera,"""2019-08-02T00:00:00.000Z""",,,Muerte,guachero sin madre,"""2019-08-13T00:00:00.000Z""",guentrepan,"""2019-08-13T00:00:00.000Z"""
18085952,San Pedro,Ternero,"""2019-08-03T00:00:00.000Z""",,,Muerte,guachero sin madre,"""2019-08-09T00:00:00.000Z""",guentrepan,"""2019-08-12T00:00:00.000Z"""
16464950,San Pedro,Ternera,"""2019-07-19T00:00:00.000Z""",,,Muerte,hipermatosis,"""2019-08-10T00:00:00.000Z""",guentrepan,"""2019-08-12T00:00:00.000Z"""
14476318,San Pedro,Vaca,"""2012-10-15T00:00:00.000Z""",Parida,En Leche,Muerte,hipomagnesemia,"""2019-08-08T00:00:00.000Z""",guentrepan,"""2019-08-08T00:00:00.000Z"""
12688492,San Pedro,Vaca,"""2016-09-15T00:00:00.000Z""",Parida,En Leche,Muerte,Flaca PTBc,"""2019-08-07T00:00:00.000Z""",guentrepan,"""2019-08-07T00:00:00.000Z"""
14476335,San Pedro,Vaca,"""2012-12-15T00:00:00.000Z""",Preñada,En Leche,Muerte,hipomagnesemia,"""2019-08-06T00:00:00.000Z""",guentrepan,"""2019-08-07T00:00:00.000Z"""
16464952,San Pedro,Ternero,"""2019-07-19T00:00:00.000Z""",,,Muerte,guachero sin madre,"""2019-08-03T00:00:00.000Z""",guentrepan,"""2019-08-07T00:00:00.000Z"""
18085870,San Pedro,Ternero,"""2019-07-29T00:00:00.000Z""",,,Muerte,jotes,"""2019-08-02T00:00:00.000Z""",guentrepan,"""2019-08-07T00:00:00.000Z"""
18085878,San Pedro,Ternera,"""2019-07-29T00:00:00.000Z""",,,Muerte,guachero sin madre,"""2019-08-01T00:00:00.000Z""",guentrepan,"""2019-08-02T00:00:00.000Z"""
18085833,San Pedro,Ternera,"""2019-07-27T00:00:00.000Z""",,,Muerte,pisado vacas,"""2019-07-31T00:00:00.000Z""",guentrepan,"""2019-08-02T00:00:00.000Z"""
16464986,San Pedro,Ternero,"""2019-07-22T00:00:00.000Z""",,,Muerte,hipotermia,"""2019-07-30T00:00:00.000Z""",guentrepan,"""2019-08-02T00:00:00.000Z"""
16464917,San Pedro,Ternero,"""2019-07-15T00:00:00.000Z""",,,Muerte,jotes,"""2019-07-26T00:00:00.000Z""",guentrepan,"""2019-08-02T00:00:00.000Z"""
4264098,San Pedro,Vaca,"""2012-11-15T00:00:00.000Z""",Preñada,En Leche,Muerte,Baja condición corporal,"""2019-07-31T00:00:00.000Z""",guentrepan,"""2019-08-02T00:00:00.000Z"""
10590941,San Pedro,Vaca,"""2010-09-15T00:00:00.000Z""",Parida,En Leche,Muerte,Flaca PTBc,"""2019-07-26T00:00:00.000Z""",guentrepan,"""2019-08-02T00:00:00.000Z"""
16464975,San Pedro,Ternero,"""2019-07-21T00:00:00.000Z""",,,Accidente,Pisado vaca,"""2019-07-22T00:00:00.000Z""",guentrepan,"""2019-07-24T00:00:00.000Z"""
16464924,San Pedro,Ternero,"""2019-07-16T00:00:00.000Z""",,,Muerte,hipotermia,"""2019-07-22T00:00:00.000Z""",guentrepan,"""2019-07-24T00:00:00.000Z"""
16464954,San Pedro,Ternero,"""2019-07-19T00:00:00.000Z""",,,Muerte,hipotermia,"""2019-07-21T00:00:00.000Z""",guentrepan,"""2019-07-21T00:00:00.000Z"""
12688010,San Pedro,Vaca,"""2016-07-18T00:00:00.000Z""",Preñada,En Leche,Muerte,paralisis ruminal,"""2019-07-20T00:00:00.000Z""",guentrepan,"""2019-07-21T00:00:00.000Z"""
16464948,San Pedro,Ternera,"""2019-07-18T00:00:00.000Z""",,,Muerte,hipotermia,"""2019-07-21T00:00:00.000Z""",guentrepan,"""2019-07-21T00:00:00.000Z"""
16464909,San Pedro,Ternera,"""2019-07-14T00:00:00.000Z""",,,Muerte,hipotermia,"""2019-07-17T00:00:00.000Z""",guentrepan,"""2019-07-17T00:00:00.000Z"""
4237039,San Pedro,Vaca,"""2011-10-15T00:00:00.000Z""",Preñada,En Leche,Muerte,Flaca PTBc,"""2019-06-29T00:00:00.000Z""",guentrepan,"""2019-07-04T00:00:00.000Z"""
14461853,San Pedro,Vaquilla,"""2017-06-15T00:00:00.000Z""",Preñada,,Impactacion ruminal,panzaso,"""2019-06-27T00:00:00.000Z""",guentrepan,"""2019-06-27T00:00:00.000Z"""
4237148,San Pedro,Vaca,"""2011-11-15T00:00:00.000Z""",Preñada,En Leche,otros,baja inventario,"""2019-06-17T00:00:00.000Z""",mllona,"""2019-06-19T00:00:00.000Z"""
16464375,feedlot,Ternero,"""2018-09-05T00:00:00.000Z""",,,paralisis ruminal,paralisis ruminal,"""2019-06-14T00:00:00.000Z""",mllona,"""2019-06-14T00:00:00.000Z"""
4237164,San Pedro,Vaca,"""2011-11-15T00:00:00.000Z""",Parida,En Leche,otros,baja inventario,"""2019-05-22T00:00:00.000Z""",guentrepan,"""2019-05-22T00:00:00.000Z"""
12688360,San Pedro,Vaquilla,"""2016-09-06T00:00:00.000Z""",Preñada,,otros,baja inventario,"""2019-05-22T00:00:00.000Z""",guentrepan,"""2019-05-22T00:00:00.000Z"""
14476324,San Pedro,Vaca,"""2010-11-10T00:00:00.000Z""",Preñada,En Leche,otros,baja inventario,"""2019-05-22T00:00:00.000Z""",guentrepan,"""2019-05-22T00:00:00.000Z"""
