Diio,Fecha nacimiento,Tipo ganado,Raza,Fundo,Estado reproductivo,Estado leche,Observaciones,Partos,Diio Madre,Padre,Abuelo,Origen,Fecha creado
21430661,"""2020-08-17T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,14476585,Bonefire,Innovation,,"""2020-08-17T00:00:00.000Z"""
21430665,"""2020-08-14T00:00:00.000Z""",Vaca,Angus Rojo,San Pedro,Preñada,En Leche,,4,21430612,Toro Campo,,,"""2020-08-14T00:00:00.000Z"""
21430666,"""2020-09-12T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,4,16464039,Toro Campo,Subtantial,,"""2020-09-14T00:00:00.000Z"""
21430667,"""2020-08-29T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,4,14476083,Toro Campo,,,"""2020-08-30T00:00:00.000Z"""
21430669,"""2020-07-20T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,16464582,Hickok,Toro Campo,,"""2020-07-21T00:00:00.000Z"""
21430670,"""2020-08-02T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,4,14475683,Fox troc,,,"""2020-08-03T00:00:00.000Z"""
21430671,"""2020-07-15T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,4,,,,,"""2020-10-28T00:00:00.000Z"""
21430672,"""2020-07-19T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,4,16464350,Hickok,Innovation,,"""2020-07-20T00:00:00.000Z"""
21430673,"""2020-08-14T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,4,14475747,Toro Campo,,,"""2020-08-14T00:00:00.000Z"""
21430674,"""2020-07-20T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Parida,En Leche,,3,4220005,Tahoe (sexado,,,"""2020-07-21T00:00:00.000Z"""
21430677,"""2011-02-01T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,12,,,,,"""2018-06-04T00:00:00.000Z"""
21430678,"""2019-08-25T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,5,16464823,Deacon,,,"""2019-08-26T00:00:00.000Z"""
21430679,"""2017-09-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,7,,,,,"""2018-06-04T00:00:00.000Z"""
21430682,"""2019-09-12T00:00:00.000Z""",Vaca,Angus,San Pedro,Vacía,En Leche,,3,4297281,Infinity,,,"""2019-09-16T00:00:00.000Z"""
21430686,"""2015-07-15T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,5,,,,Ag. Rayen Lafquen,"""2020-10-07T00:00:00.000Z"""
21430689,"""2018-08-30T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,5,,,,,"""2019-11-05T00:00:00.000Z"""
21430690,"""2017-07-15T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,5,,,,Ag. Rayen Lafquen,"""2020-10-07T00:00:00.000Z"""
21430691,"""2019-08-24T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,5,10590426,,,,"""2019-08-28T00:00:00.000Z"""
21430692,"""2015-07-15T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,5,,,,ag. Rayen Lafquen,"""2020-10-08T00:00:00.000Z"""
21430693,"""2020-07-14T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,4,14476361,Hickok,Subtantial,,"""2020-07-15T00:00:00.000Z"""
21430696,"""2017-08-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,7,,,,,"""2018-06-04T00:00:00.000Z"""
21430697,"""2014-09-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,9,,,,,"""2018-06-04T00:00:00.000Z"""
